country,name,type
China,Guangxi Normal University Press Group,Publishers / Comprehensive Publishing
Japan,Sairyusha Co.,Publishers / Comprehensive Publishing
Singapore,Lingzi Media Pte Ltd,Publishers / Comprehensive Publishing
China,"Beijing Changjiang New Century Culture and Media Co., Ltd",Publishers / Comprehensive Publishing
China,Juvenile & Children's Publishing House,Publishers / Children's Publishing
Spain,Grupo edebe,Publishers / Children's Publishing
Spain,"EDITORIAL OCÉANO, S.L.",Publishers / Children's Publishing
France,Les P'tits Bérets,Publishers / Children's Publishing
Germany,Musikverlag Zimmermann,Publishers / Comprehensive Publishing
China,China Commercial Publishing House,Publishers / Comprehensive Publishing
United States,Free Spirit Publishing,Publishers / Children's Publishing
United States,Gallup Press,Publishers / Comprehensive Publishing
France,Groupe Eyrolles,Publishers / Comprehensive Publishing
Italy,La Bancarella Editrice,Publishers / Comprehensive Publishing
United States,Future Horizons,Publishers / Comprehensive Publishing
France,Editions Passiflore,Publishers
United Kingdom,Findhorn Press,Publishers / Comprehensive Publishing
Italy,24 ORE Cultura,Publishers / Culture & Art Publishing
Greece,A.P.H.C.A.,Publishers / Children's Publishing
Italy,Giulio Einaudi Editore S.p.A.,Publishers / Comprehensive Publishing
China,Cherry Publishing (Beijing) Company Limited,Publishers / Textbook Publishing
China,The source of Beijing known to the World Book Stud,Publishers / Lifestyle Publishing
China,Zhejiang Literature & Art Publishing House,Publishers / Culture & Art Publishing
Peru,Educational partnership on your way,Publishers / Children's Publishing
Malaysia,Perbadanan Kota Buku Malaysia,Publishers / Children's Publishing
Italy,Bonfirraro Editore,Publishers / Comprehensive Publishing
China,Sichuan Children's Publishing House,Publishers / Children's Publishing
Austria,Seifert Verlag GmbH,Publishers / Literature Publishing
China,"Beijing Young Hare Culture Development Co., Ltd",Publishers / Comics Publishing
Australia,Inspiring Publishers,Publishers / Comprehensive Publishing
Argentina,Editorial Albatros,Publishers / Comprehensive Publishing
Austria,Edition Vicart,Publishers / Popular Science Publishing
China,"Beijing Zito Books Co., Ltd.",Publishers / Comprehensive Publishing
China,"Tianjin People's Publishing House Co.,Ltd.",Publishers / Comprehensive Publishing
China,"Beijing Huaxia Winshare Books Co., Ltd.",Publishers / Comprehensive Publishing
Germany,Zambon editore,Publishers / Comprehensive Publishing
Germany,HÄRTER Kinderbuchverlag,Publishers / Children's Publishing
Japan,B-factory12(ビーファクトリー),Publishers / Comprehensive Publishing
India,GOOD TIMES BOOKS PVT. LTD.,Publishers / Comprehensive Publishing
China,Huaxia Publishing House,Publishers / Comprehensive Publishing
Germany,Rüggeberg-Verlag,Publishers / Scholarly Publishing
Ukraine,Publishing House Talant,Publishers / Children's Publishing
China,CHINA CHILDREN'S PRESS & PUBLICATION GROUP,Publishers / Children's Publishing
"Taiwan, China",Business Weekly Publications,Publishers / Comprehensive Publishing
Germany,Tessloff Verlag,Publishers / Children's Publishing
Germany,Verlag Angelika Hörnig,Publishers / Comprehensive Publishing
Canada,Chouette Publishing,Publishers / Children's Publishing
Spain,MC Sports,Publishers / Lifestyle Publishing
Switzerland,Favre SA publisher,Publishers
Japan,"Nikkei Business Publications, Inc.",Publishers
Korea,(주)창비,Publishers / Comprehensive Publishing
India,Kalyani Navyug Media Private Limited (Campfire),Publishers / Children's Publishing
China,"Hubei Science and Technology Publishing Co., Ltd.",Publishers / Science and Technology Publishing
Canada,Éditions de l'Envolée,Publishers / Children's Publishing
United States,Xist Publishing,Publishers / Children's Publishing
France,ANACROUSE editions,Publishers / Children's Publishing
United States,Esri Press,Publishers / Comprehensive Publishing
China,Hunan Juvenile & Children's Publishing House Co. Ltd.,Publishers / Children's Publishing
China,Jilin Fine Arts Press Co. Ltd.,Publishers / Culture & Art Publishing
China,BEIJING READING PRODUCT JOINT CULTURE MIDEA CO.LTD,Publishers / Textbook Publishing
China,Jiangsu Boya Laurel Book Culture Co.Ltd,Publishers / Children's Publishing
China,CHINA FINE ARTS PUBLISHING　GROUP,Publishers / Culture & Art Publishing
China,"Phoenix Fine Arts Publishing,Ltd.",Publishers / Culture & Art Publishing
China,China Ocean Press,Publishers / Comprehensive Publishing
China,Guangxi normal university public press,Publishers / Comprehensive Publishing
China,Sino-Culture Press,Publishers / Social Science Publishing
Argentina,Ugerman,Publishers / Scholarly Publishing
China,"Beijing Xingshengle Book Distribution Co,.Ltd.",Publishers / Comprehensive Publishing
China,Tsinghua University Press,Publishers / Children's Publishing
China,Tsinghua University Press,Publishers / Comprehensive Publishing
China,"Beijing Sinoread Books Co., Ltd.",Publishers / Comprehensive Publishing
Spain,Idampa publishers,Publishers / Children's Publishing
China,"Beijing Yilin Inspirational Books Issued Co., Ltd.",Publishers / Children's Publishing
China,Beijing Uni-wisdom Media Culture Co. Ltd,Publishers / Literature Publishing
India,KANNADHASAN PATHIPPAGAM,Publishers / Comprehensive Publishing
Germany,AAVAA Verlag,Publishers / Literature Publishing
"Taiwan, China","Little Newton Science Education Company Ltd.,",Publishers / Popular Science Publishing
Italy,CAMELOZAMPA snc,Publishers / Children's Publishing
France,Les petits Platons (The tiny Platos),Publishers / Children's Publishing
Canada,Mosaic Press,Publishers / Comprehensive Publishing
United States,Nova Press,Publishers
France,LA BOITE A BULLES,Publishers / Comics Publishing
Kazakhstan,Foliant Publishing House,Publishers / Other
France,Black-out,Publishers / Literature Publishing
United Kingdom,Aku & Kamu,Publishers / Children's Publishing
China,China Fine Arts Publishing Group,Publishers / Culture & Art Publishing
Argentina,Ugerman Editor,Publishers / Science and Technology Publishing
Spain,ESIC Editorial,Publishers / Social Science Publishing
Spain,APILA EDICIONES,Publishers / Children's Publishing
Spain,Editorial Ecu,Publishers / Comprehensive Publishing
China,Dongfang Woye Press -  A division of Jiangxi Universities and Colleges Press in Beijing,Publishers / Children's Publishing
United Kingdom,Verso Books,Publishers / Comprehensive Publishing
Germany,Papierfresserchens MTM-Verlag,Publishers / Comprehensive Publishing
Japan,"G.Grape Co.,Ltd.",Publishers / Children's Publishing
China,Tongji University Press,Publishers / Textbook Publishing
Japan,株式会社オーム社,Publishers / Science and Technology Publishing
China,Shandong Publishing House of Literature and Art,Publishers / Literature Publishing
Italy,Valentina Editions,Publishers / Children's Publishing
Spain,Combel Editorial,Publishers
United Kingdom,Ashgate Publishing,Publishers / Social Science Publishing
France,Larousse,Publishers / Comprehensive Publishing
United Kingdom,"Hay House, Inc.",Publishers / Other
United States,University of North Texas Press,Publishers / Comprehensive Publishing
United Kingdom,Palgrave Macmillan,Publishers / Comprehensive Publishing
Spain,Ginger Ape Books & Films,Publishers / Literature Publishing
United States,Evan-Moor Educational Publishers,Publishers / Children's Publishing
"Taiwan, China",Mandarin Daily News (MDN),Publishers / Comprehensive Publishing
Singapore,Institute of Southeast Asian Studies (ISEAS),Publishers / Scholarly Publishing
"Taiwan, China",SACCA CAPITAL LIMITED. TAIWAN BRANCH.,Publishers
Russia,Samokat Publishing House,Publishers
Russia,"""ОЛИСС""",Publishers / Children's Publishing
Russia,"ИД ""Питер""",Publishers / Comprehensive Publishing
Hungary,Graph-Art Publishing House,Publishers / Children's Publishing
"Taiwan, China",九歌出版社,Publishers / Literature Publishing
Singapore,Marshall Cavendish International (Asia) Pte Ltd,Publishers / Comprehensive Publishing
France,Editions Exclusif,Publishers / Other
New Zealand,RandomHouse New Zealand,Publishers / Comprehensive Publishing
United States,The University of Chicago Press,Publishers / Comprehensive Publishing
China,Gulfstream Culture and media company(BeiJing),Publishers / Comprehensive Publishing
United States,JMW GROUP,Publishers / Comprehensive Publishing
Germany,Philipp Reclam jun. Verlag GmbH,Publishers / Comprehensive Publishing
Luxembourg,Zoom Éditions,Publishers / Children's Publishing
France,CITADELLES & MAZENOD,Publishers / Comprehensive Publishing
United Kingdom,Phaidon Press,Publishers / Comprehensive Publishing
Uruguay,Books from Uruguay,Publishers
France,Editions Freddy MUT,Publishers / Children's Publishing
Germany,Piper Verlag GmbH,Publishers / Comprehensive Publishing
United States,Solution Tree Press,Publishers
United Kingdom,DangerSpot Books Ltd,Publishers / Children's Publishing
"Taiwan, China",Route Culture Co. Ltd.,Publishers / Comprehensive Publishing
Spain,EDICIONES ROBINBOOK,Publishers / Comprehensive Publishing
Spain,EDITORIAL JUVENTUD,Publishers / Comprehensive Publishing
Russia,Издательство «Книжники»,Publishers / Literature Publishing
United States,Candlewick Press,Publishers
Korea,북이십일,Publishers / Comprehensive Publishing
United States,Creative Teaching Press,Publishers
Japan,株式会社冨山房インターナショナル,Publishers / Textbook Publishing
Spain,Edelsa,Publishers / Textbook Publishing
United States,Houghton Mifflin Harcourt,Publishers
Spain,Editorial SAN PABLO,Publishers / Comprehensive Publishing
Korea,시공사,Publishers / Comprehensive Publishing
Algeria,DAR ELHOUDA,Publishers / Comprehensive Publishing
United States,"Charlesbridge Publishing, Icn.",Publishers / Children's Publishing
Belgium,UITGEVERIJ LANNOO GROUP,Publishers / Comprehensive Publishing
United Kingdom,Kogan Page,Publishers / Scholarly Publishing
Japan,童心社(Doshinsha),Publishers / Children's Publishing
Italy,La Coccinella,Publishers / Children's Publishing
United Kingdom,Anness Publishing Limited,Publishers / Comprehensive Publishing
Russia,Издательство «Альпина Паблишер»,Publishers / Comprehensive Publishing
Russia,"Издательство ""ИНЕШ""",Publishers
Spain,Diálogo Infantil,Publishers / Children's Publishing
United Kingdom,Sunpenny publishing,Publishers / Comprehensive Publishing
France,Thomas jeunesse,Publishers / Children's Publishing
France,Critères éditions,Publishers / Culture & Art Publishing
France,Kilowatt édition,Publishers / Children's Publishing
United States,Outskirts Press,Publishers / Comprehensive Publishing
Belarus,Издательство «Мастацкая літаратура»,Publishers / Literature Publishing
United Kingdom,Osprey Publishing Ltd.,Publishers / Comprehensive Publishing
United States,The University Press of Florida,Publishers / Scholarly Publishing
France,Livres du Dragon d'Or,Publishers / Children's Publishing
Russia,Legion,Publishers
Canada,Goélette International,Publishers / Comprehensive Publishing
Korea,"STORYBOX Co.,Ltd.",Publishers / Comics Publishing
France,Éditions Nathan,Publishers / Children's Publishing
Spain,"GREEN TRIQUETA, S.L.U.",Publishers / Children's Publishing
Egypt,Sefsafa Publishing,Publishers / Literature Publishing
France,Scrineo,Publishers / Comprehensive Publishing
Russia,litcenterspb,Publishers / Comprehensive Publishing
China,Tomorrow Publishing House,Publishers / Children's Publishing
Kazakhstan,Aruna Publishing Ltd,Publishers / Children's Publishing
Belgium,Clavis Books,Publishers / Children's Publishing
Australia,Millennium House,Publishers / Culture & Art Publishing
Spain,Parramón Paidotribo S.L.,Publishers / Comprehensive Publishing
Poland,Edgard,Publishers / Children's Publishing
"Hong Kong, China",Sun Ya Publications (HK) Ltd.,Publishers / Children's Publishing
"Hong Kong, China","Xiang Jiang Press Co., Limited",Publishers / Comprehensive Publishing
Spain,EDI.MÁTER,Publishers / Comprehensive Publishing
Spain,Editorial Susaeta,Publishers / Comprehensive Publishing
China,Shaanxi People's Publishing House,Publishers / Comprehensive Publishing
China,"Henan Literature and Art Publishing House Co.,Ltd",Publishers / Culture & Art Publishing
Russia,Russian CHESS House,Publishers / Textbook Publishing
China,Hebei Fine Arts Publishing House,Publishers / Culture & Art Publishing
"Hong Kong, China",RASS LANGUAGE,Publishers / Children's Publishing
Bangladesh,Reazul Islam,Publishers / Literature Publishing
Argentina,Albatros,Publishers / Comprehensive Publishing
China,Jiangxi people's Publishing House,Publishers / Social Science Publishing
China,"Maliang Cyber Technology Co.,Ltd.",Publishers / Other
China,China Textile &Apparel Press,Publishers / Comprehensive Publishing
China,"Beijing Sunbook Culture Dissemination Co.,Ltd",Publishers / Children's Publishing
China,Dalian University of Technology Press,Publishers / Culture & Art Publishing
India,Prism Books Pvt Ltd,Publishers / Scholarly Publishing
"Taiwan, China",Linking Publishing Company,Publishers / Comprehensive Publishing
Latvia,частная,Publishers
Spain,Kairos Publishing,Publishers / Scholarly Publishing
China,CITIC PRESS COPORATION,Publishers / Comprehensive Publishing
France,LIRABELLE,Publishers / Children's Publishing
China,China Renmin University Press,Publishers / Scholarly Publishing
China,Daylight Publishing House,Publishers / Children's Publishing
United States,Berkshire Publishing Group LLC,Publishers / Scholarly Publishing
China,China Intercontinental Press (CIP),Publishers / Comprehensive Publishing
China,Jieli Publishing House,Publishers / Children's Publishing
Australia,Lonely Planet Publications Pty Ltd,Publishers / Other
China,Beiyue Literature & Art Publishing House,Publishers / Literature Publishing
China,Encyclopedia of China Publishing House,Publishers / Popular Science Publishing
United States,"Plexus Publishing, Inc.",Publishers / Popular Science Publishing
Russia,Издательство Ивана Лимбаха,Publishers / Social Science Publishing
Russia,МОЗАИКА-СИНТЕЗ,Publishers / Children's Publishing
Italy,Alcyone,Publishers / Comprehensive Publishing
Spain,PLAY ATTITUDE,Publishers / Comprehensive Publishing
France,Rageot Éditeur,Publishers / Children's Publishing
Korea,한국 AGAWORLD 그룹(주),Publishers / Children's Publishing
United States,AZ Books,Publishers / Children's Publishing
Switzerland,Editions Limonade,Publishers / Children's Publishing
United States,Black Dog & Leventhal  Publishers,Publishers / Comprehensive Publishing
United Kingdom,HarperCollins UK,Publishers / Comprehensive Publishing
United States,Tuttle Publishing,Publishers / Comprehensive Publishing
Belgium,Mijade,Publishers / Children's Publishing
Germany,C.H.Beck Publishing,Publishers / Comprehensive Publishing
Canada,Fitzhenry & Whiteside Limited,Publishers / Comprehensive Publishing
Spain,"PUBLICACIONES ALTARA, S.L.",Publishers / Comprehensive Publishing
Russia,PressPass LLC,Publishers / Comprehensive Publishing
Malaysia,Oyez!Books,Publishers / Children's Publishing
Poland,Publishing House Red-Sun,Publishers / Literature Publishing
Ireland,ICharacter Limited,Publishers / Children's Publishing
United States,Unveiled Media LLC,Publishers / Comprehensive Publishing
Canada,Editions Les 400 Coups,Publishers / Children's Publishing
Portugal,Planeta Tangerina,Publishers / Comprehensive Publishing
India,Macaw Books,Publishers
France,Editions d'Orbestier - Reves bleus,Publishers / Children's Publishing
Spain,EDICIONES RIALP,Publishers / Comprehensive Publishing
United States,Lerner Publishing Group,Publishers
Spain,BLUME,Publishers / Comprehensive Publishing
United States,HarperCollins Publishers,Publishers / Comprehensive Publishing
Japan,株式会社WAVE出版,Publishers / Culture & Art Publishing
Russia,"Издательство ""Искусство XXI век""",Publishers / Culture & Art Publishing
United States,"Farrar, Straus, and Giroux books for young readers",Publishers / Children's Publishing
France,Bayard Éditions,Publishers
France,L'école des loisirs,Publishers / Children's Publishing
France,Editions Thierry Magnier,Publishers / Children's Publishing
Spain,Algar Editorial,Publishers / Children's Publishing
Russia,"Издательство ""Европа""",Publishers / Comprehensive Publishing
Canada,Harlequin Enterprises Ltd.,Publishers / Comprehensive Publishing
Spain,Sol90,Publishers / Comprehensive Publishing
"Taiwan, China",Interactile Learning,Publishers / Textbook Publishing
Brazil,Cortez Publishing House,Publishers / Comprehensive Publishing
Pakistan,Saleem Book Centre,Publishers / Children's Publishing
Japan,"Poplar Publishing Co., Ltd.",Publishers / Children's Publishing
United Arab Emirates,"Al Ajwad Paper Trading, Publishing and Distribution",Publishers / Comprehensive Publishing
Mexico,"Ediciones Era, SA de CV",Publishers / Comprehensive Publishing
India,Xact Studio International,Publishers
China,"Phoenix HanBooks(BeiJing)Co.,Ltd",Publishers / Lifestyle Publishing
China,Educational Science Publishing House,Publishers
France,Editions HEAD OVER HILLS,Publishers / Literature Publishing
United Kingdom,University of Wales Press,Publishers / Comprehensive Publishing
France,Éditions Vigot - Maloine,Publishers / Comprehensive Publishing
United States,Codhill Press,Publishers / Literature Publishing
China,Beijing Tourism Education Press,Publishers / Comprehensive Publishing
China,Yilin Press,Publishers / Literature Publishing
Canada,Les Éditions Québec-Livres,Publishers / Comprehensive Publishing
United States,Firefall Originals,Publishers / Comprehensive Publishing
United Kingdom,Greenleaf  Publishing,Publishers / Comprehensive Publishing
Russia,"ООО ""Издательский дом ""Эпоха""",Publishers / Comprehensive Publishing
Russia,"Информационно-издательское агентство ""ЛИК""",Publishers / Culture & Art Publishing
United States,Red Rock Press,Publishers / Comprehensive Publishing
Netherlands,Querido,Publishers / Children's Publishing
Malaysia,Dream Creant Art Studio,Publishers / Comics Publishing
Brazil,Universo dos Livros,Publishers / Literature Publishing
United States,Algora Publishing,Publishers / Literature Publishing
United States,Peter Lang Publishing Inc.,Publishers / Comprehensive Publishing
Germany,Transcript Publishing,Publishers / Comprehensive Publishing
Germany,Laudatio Verlag,Publishers
United States,Cornell University  Press,Publishers / Comprehensive Publishing
United States,Elsevier,Publishers / Science and Technology Publishing
Germany,Svato Verlag,Publishers / Comprehensive Publishing
Japan,株式会社新日本出版社,Publishers / Social Science Publishing
Russia,Клуб издателей Нефрмат,Publishers / Comprehensive Publishing
France,Éditions de L'Herne,Publishers / Comprehensive Publishing
Australia,R.I.C. Publications®,Publishers / Reference Books Publishing
United States,Sentient Publications,Publishers / Comprehensive Publishing
India,Mehta Publishing House,Publishers / Comprehensive Publishing
Germany,Verlag Neuer Merkur GmbH,Publishers / Science and Technology Publishing
India,New Age International Publishers,Publishers / Comprehensive Publishing
Canada,Kinesiology Books Publisher,Publishers / Other
Turkey,DKIVANC STUDIO,Publishers / Culture & Art Publishing
United States,"Prickly Paradigm Press, LLC",Publishers / Social Science Publishing
Germany,CH. SCHROER GmbH,Publishers / Literature Publishing
United Kingdom,Columbus Publishing Ltd,Publishers / Comprehensive Publishing
China,China Electric Power Press LTD. Business Publishing Center,Publishers / Economic & Financial Publishing
United Kingdom,Canongate Books,Publishers / Comprehensive Publishing
Russia,Издательский дом «ПоРог»,Publishers / Literature Publishing
France,YVES MICHEL EDITIONS,Publishers
Italy,Edizioni L'Arcipelago S.R.L.,Publishers / Comprehensive Publishing
United Kingdom,Pluto Press,Publishers / Comprehensive Publishing
Italy,Ugo Guanda Editore S.p.A,Publishers / Comprehensive Publishing
United Kingdom,Arcturus Publishing Limited,Publishers / Comprehensive Publishing
"Taiwan, China",木馬文化,Publishers / Comprehensive Publishing
Vietnam,越南广文传媒与图书股份公司,Publishers / Comprehensive Publishing
Japan,株式会社　主婦と生活社,Publishers / Comprehensive Publishing
China,"China South Booky Culture Media Co., Ltd",Publishers / Comprehensive Publishing
Ukraine,A-BA-BA-HA-LA-MA-HA Publishers,Publishers / Children's Publishing
China,JiangxiScience and Technology Publishing House,Publishers / Science and Technology Publishing
Russia,"Издательство ""Гелиос АРВ""",Publishers
Australia,Mrs. Shepherd Designs,Publishers / Children's Publishing
China,Hunan Juvenile&Children's Publishing House,Publishers / Children's Publishing
United Kingdom,Mereo Books/Memoirs Publishing,Publishers / Comprehensive Publishing
Czech Republic,"Nakladatelství Fragment, s.r.o.",Publishers / Children's Publishing
United Kingdom,The Orion Publishing  Group,Publishers / Comprehensive Publishing
Peru,APUS GRAPH EDITIONS,Publishers / Comprehensive Publishing
France,Asphalte éditions,Publishers / Literature Publishing
India,Vishv Books Pvt Ltd.,Publishers
Ukraine,ARTCARDBOOK,Publishers
United States,The Americas Group,Publishers / Comprehensive Publishing
Germany,Engelsdorfer Verlag,Publishers / Comprehensive Publishing
China,21st century Publishing House,Publishers / Children's Publishing
China,China Machine Press,Publishers / Comprehensive Publishing
China,Higher Education Press (Group),Publishers / Other
Russia,Zuza publishing,Publishers / Children's Publishing
"Taiwan, China",學習工場數位科技股份有限公司,Publishers / Children's Publishing
France,Alzabane éditions,Publishers / Children's Publishing
France,Editeurs sans frontières,Publishers / Comprehensive Publishing
India,Mexus Education Pvt. Ltd.,Publishers / Children's Publishing
France,Les Éditions du Petit Pavé,Publishers / Comprehensive Publishing
Spain,Txalaparta,Publishers / Comprehensive Publishing
Spain,A Fortiori Editorial,Publishers / Comprehensive Publishing
Russia,"Издательский дом ""Магистр-Пресс""",Publishers / Literature Publishing
Russia,Спорт и Культура-2000,Publishers / Comprehensive Publishing
Guatemala,Grupo Amanuense,Publishers / Children's Publishing
United States,Charles Randall Inc.,Publishers / Lifestyle Publishing
Spain,Herder Editorial,Publishers / Comprehensive Publishing
United States,The MIT Press,Publishers / Comprehensive Publishing
Spain,Ediciones Urano,Publishers / Comprehensive Publishing
Japan,株式会社　ポプラ社,Publishers / Children's Publishing
United States,Hazelden Publishing,Publishers / Comprehensive Publishing
Spain,Editorial Trotta S.A.,Publishers
Japan,長崎出版株式会社,Publishers / Comprehensive Publishing
Spain,Editorial CCS,Publishers / Comprehensive Publishing
Russia,Издательство «ЭКСМО»,Publishers / Comprehensive Publishing
Canada,Beaver Books Publishing,Publishers / Children's Publishing
United Kingdom,Ivy Press,Publishers / Comprehensive Publishing
Mexico,Alfaomega Grupo Editor,Publishers / Comprehensive Publishing
Russia,Молодая гвардия,Publishers / Literature Publishing
Russia,"Издательство ""Феникс""",Publishers / Scholarly Publishing
United States,"The Experiment, LLC",Publishers / Comprehensive Publishing
Spain,Editorial Corimbo,Publishers / Children's Publishing
"Taiwan, China",Wu-Nan Book Inc. / Shu-Chuan Publishing House,Publishers
China,CHINA CHILDREN'S PRESS & PUBLICATION GROUP,Publishers / Children's Publishing
Spain,Thule Ediciones,Publishers / Children's Publishing
United States,THE CREATIVE COMPANY,Publishers / Children's Publishing
United States,Columbia University Press,Publishers / Comprehensive Publishing
Spain,Ediciones Sígueme,Publishers / Comprehensive Publishing
Spain,ALMADRABA EDITORIAL,Publishers / Textbook Publishing
Spain,Ediciones de la Torre,Publishers / Comprehensive Publishing
France,Group PLAY BAC,Publishers / Comprehensive Publishing
Serbia,Evro-Giunti,Publishers / Children's Publishing
United States,University of Pittsburgh Press,Publishers / Comprehensive Publishing
United Kingdom,Pluto Press,Publishers / Scholarly Publishing
Germany,Ibidem-Verlag Publishing Co.,Publishers
Canada,QA International,Publishers / Comprehensive Publishing
United Kingdom,F&W Media International LTD,Publishers / Lifestyle Publishing
Czech Republic,Albatros Media a.s.,Publishers / Comprehensive Publishing
United Kingdom,Onewrold Publications,Publishers / Comprehensive Publishing
United States,Bamboo Forest Publishing,Publishers / Lifestyle Publishing
United States,University Press of Kansas,Publishers / Comprehensive Publishing
United Kingdom,Reaktion Books,Publishers / Comprehensive Publishing
Netherlands,Uitgeverij Snor,Publishers
United Kingdom,Award Publications Ltd,Publishers / Children's Publishing
Russia,Издательство Ганга,Publishers / Culture & Art Publishing
Ukraine,Vivat Publishing Ltd.,Publishers / Children's Publishing
Spain,Ediciones Parramón,Publishers
India,Young Angels International,Publishers / Children's Publishing
China,China Light Industry Press,Publishers / Science and Technology Publishing
Mexico,Ediciones El Naranjo,Publishers / Children's Publishing
"Taiwan, China",台灣丹羅華出版事業,Publishers / Comprehensive Publishing
Malaysia,大将出版社,Publishers
China,Anhui People's Publishing House,Publishers / Social Science Publishing
Australia,ASJ Publishing,Publishers / Literature Publishing
China,China Financial & Economic Publishing House,Publishers / Economic & Financial Publishing
"Taiwan, China",新文京開發出版股份有限公司,Publishers / Textbook Publishing
China,Zhejiang Juvenile and Children's Publishing House,Publishers / Children's Publishing
Japan,"Nikkei Business Publications, Inc.",Publishers / Magazine Publishing
"Hong Kong, China",Loyal Kids Creation Ltd.,Publishers / Children's Publishing
Italy,Aldo lazzaretti editore,Publishers / Children's Publishing
Belgium,M.E.O. éditions,Publishers / Literature Publishing
China,Hope Publishing House,Publishers / Children's Publishing
Russia,МАЙОР,Publishers
China,Huangshan Publishing House,Publishers / Culture & Art Publishing
China,"Langlang Media holdings co., limited",Publishers / Children's Publishing
France,Éditions Jean-Cyrille Godefroy,Publishers
France,Océan éditions,Publishers / Comprehensive Publishing
China,"Artpower Culture Development Co., Ltd",Publishers / Culture & Art Publishing
Spain,McSports,Publishers / Other
China,The Writers Publishing House,Publishers / Literature Publishing
Italy,Federighi Editori,Publishers / Children's Publishing
Spain,Editorial Ecir,Publishers / Children's Publishing
China,Phoenix Publishing House Co. Ltd.,Publishers / Scholarly Publishing
Australia,Kidz Book Hub,Publishers / Children's Publishing
China,Shanghai Cai Qin Ren Culture Diffusion Co.LTD,Publishers / Children's Publishing
China,Tianjin Academy of Social Sciences Press,Publishers / Social Science Publishing
China,China Photographic Publishing House,Publishers / Culture & Art Publishing
Belarus,"Издательство ""Белорусская Энциклопедия""",Publishers / Comprehensive Publishing
Canada,Fernwood Publishing,Publishers / Social Science Publishing
Belgium,180° éditions,Publishers / Comprehensive Publishing
Argentina,Letra Impresa Grupo Editor,Publishers
Korea,(주)새순기획,Publishers / Children's Publishing
Italy,Edizioni Dedalo,Publishers / Comprehensive Publishing
Switzerland,Editions Paquet,Publishers / Comics Publishing
France,Voolume,Publishers / Comprehensive Publishing
Korea,도서출판 어문학사,Publishers / Comprehensive Publishing
Korea,플래닛미디어,Publishers / Comprehensive Publishing
Spain,Eneida editorial,Publishers
France,EDITIONS DU MOMENT,Publishers / Comprehensive Publishing
Saint Lucia,Naïve,Publishers / Comprehensive Publishing
